   ,CODE,NAME,NAME,SHORT_NAME
89,1230,"Будівлі торговельні.<br><i>Цей клас включає:</i><br><ul><li>торгові центри, пасажі, універмаги, спеціалізовані магазини та павільйони, зали для ярмарків, аукціонів, виставок, криті ринки, станції технічного обслуговування автомобіві та т. ін.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>підприємства та установи громадського харчування (їдальні, кафе, закусочні та т. ін.);</li><li>приміщення складські та бази підприємств торгівлі й громадського хаврчування;</li><li>підприємтсва побутового обслуговування.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>невеликі магазини в будівлях, що призначені (використовуються), головним чином, для інших цілей;</li><li>ресторани та бари, розміщені в готелях або окремо (12.11);</li><li>лазні та пральні (12.74).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
90,124,Будівлі транспорту та засобів зв'язку.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
91,1241.9,Будівлі транспорту та засобів зв'язку інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
92,1220.2,Будівлі фінансового обслуговування.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
93,1241.7,"Будівлі центрів радіо- та телевізійного мовлення, телефонних станцій, телекомунікаційних центрів та т. ін.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
94,1263.3,Будівлі шкіл та інших середніх навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
95,2420.7,Відвали гірничих розробок.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
96,2420.1,Військові випробувальні центри.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
97,2420.3,Військові інженерні фортифікаційні споруди.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
98,2420.2,Військові полігони та стрільбища.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
99,2212.1,Водоводи магістральні та відводи від них.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
100,2152.4,Водозахисні споруди атомних електростанцій.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
101,2152.3,Водозахисні споруди теплових електростанцій.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
102,2222.5,"Водонапірні башти, фонтани.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
103,2222.4,"Водяні свердловини, колодязі, бювети.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
104,1241,"Вокзали, аеровокзали, будівлі засобів зв'язку та пов'язані з ними будівлі.<br><i>Цей клас включає:</i><br><ul><li>будівлі цивільних та військових аеропортів, міського електротранспорту, залізничних станцій, автобусних станцій, морських та річкових вокзалів, фунікулерних та підіймальних станцій канатних доріг;</li><li>будівлі центрів радіо- та телевізійного мовлення, телефонних станцій, телекомунікаційних центрів та т. ін.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>ангари для літаків, будівлі залізничних блокпостів, локомотивні та вагонні депо, трамвайні та тролейбусні депо;</li><li>телефонні кіоски;</li><li>будівлі маяків;</li><li>диспетчерські будівлі повітряного транспорту.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>станції технічного обслуговування автомобілів (12.30);</li><li>резервуари, силоси та товарні склади (12.52);</li><li>залізничні колії (21.21, 21.22);</li><li>злітно-посадкові смуги аеродромів (21.30);</li><li>телекомунікаційні лінії та щогли (22.13, 22.24);</li><li>нафтотермінали (23.03).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
105,1241.2,Вокзали та інші будівлі залізничного транспорту.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
106,2112,"Вулиці та дороги. <br><i>Цей клас включає:</i><br><ul><li>міські та сільські вулиці, позаміські дороги та будь-які шляхи (включаючи відкриті транспортні розв'язки, стоянки, перехрестя, об'їзні та окружні дороги), наприклад, проспекти, алеї, провулки, обхідні дороги, під'їзні дороги, польові дороги, доріжки для верхової та велосипедної їзди, майдани, тротуари та пішохідні зони.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>пристрої для освітлення, сигналізації, забезпечення безпеки та стоянок.</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
107,2112.1,Вулиці та дороги міст і населених пунктів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
108,2211.2,Газопроводи магістральні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
109,1242.1,Гаражі наземні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
110,1242.2,Гаражі підземні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
111,1242,"Гаражі.<br><i>Цей клас включає:</i><br><ul><li>гаражі (наземні й підземні) та криті автомобільні стоянки.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>навіси для велосипедів.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>автостоянки в будівлях, що використовуються, головним чином, для інших цілей;</li><li>станції технічного обслуговування автомобілів (12.30).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
112,1211.1,Готелі.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
113,121,"Готелі, ресторани та подібні будівлі.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
114,2412.5,Громадські сади та парки для розваг і відпочинку.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
115,113,Гуртожитки.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
116,1130.1,Гуртожитки для робітників та службовців.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
117,1130.2,Гуртожитки для студентів вищих навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
118,1130.3,Гуртожитки для учнів навчальних закладів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
119,1130,"Гуртожитки.<br><i>Цей клас включає:</i><br><ul><li>житлові будинки для колективного проживання, включаючи будинки для людей похилого віку та інвалідів, студентів, дітей та інших соціальних груп, наприклад, будинки для біженців, гуртожитки для робітників та службовців, гуртожитки для студентів та учнів навчальних закладів, сирітські будинки, притулки для бездомних та т. ін.</li></ul><br><i>Цей клас не включає:</i><ul><li>лікарні, клініки (12.64);</li><li>в'язниці, казарми (12.74)</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
120,2152.1,Дамби гідроенергетичні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
121,2152.2,Дамби для зрошення і регулювання водних потоків.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
122,2152.5,"Дамби, загати та інші водозахисні насипні споруди.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
123,2152,"Дамби.<br><i>Цей клас включає:</i><br><ul><li>дамби та подібні водозахисні споруди таких галузей, як гідроенергетика, зрошення, регулювання водних потоків, захист від паводків.</li></ul><br><i>Цей клас включає також:</i><br><ul><li>захисні дамби, загати, захисні насипні споруди.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>шлюзи (21.51);</li><li>гідроелектростанції (23.02).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
124,1212.2,Дитячі та сімейні табори відпочинку.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
125,2112.4,Доріжки для велосипедної та верхової їзди.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
126,2111.1,Дороги автомобільні магістральні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
127,2112.3,Дороги для технологічного автотранспорту промислових підприємств.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
128,2302.3,Електростанції атомні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
129,2302.1,Електростанції гідравлічні та гідроакумуляційні.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
130,2302.4,Електростанції на нетрадиційних джерелах енергії.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
131,2302.2,Електростанції теплові.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
132,1264.9,Заклади лікувально-профілактичні та оздоровчі інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
133,1265.1,"Зали гімнастичні, баскетбольні, волейбольні, тенісні та т. ін.",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
134,1261.2,Зали засідань та багатоцільові зали для публічних виступів.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
135,1265.9,Зали спортивні інші.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
136,1265,"Зали спортивні.<br><i>Цей клас включає:</i><br><ul><li>будівлі, що використовуються в спортивних цілях (баскетбол та теніс у приміщеннях, плавальні басейни, гімнастичні зали, ковзанки або хокейні майданчики та т. ін.), що передбачаються переобладнання з улаштуванням трибун для глядачів, терас для видовищ та демонстраційних цілей та т. ін.</li></ul><br><i>Цей клас не включає:</i><br><ul><li>багатоцільові зали, що використовуються, головним чином, для публічних виступів (12.61);</li><li>спортивні майданчики для занять спортом на відкритому повітрі, наприклад, тенісні корти, відкриті плавальні басейни тощо (24.11).</li></ul>",Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
137,212,Залізниці.,Державний класифікатор будівель та споруд (ДК 018:2000),ДК 018:2000
